source_folder,recording,ball_speed,ball_location
1,1,19.91942138671875,7.687318
1,2,23.0573408203125,3.7402883
1,3,21.680334228515623,5.7091956
1,4,23.728833984375,6.12648
1,5,26.655519287109374,6.4744053
1,6,25.5081708984375,6.2630043
1,7,23.463784423828123,6.2946973
2,1,23.194021728515622,5.4864683
2,1,20.91209326171875,4.028901
2,1,24.100314697265624,3.7898138
2,1,23.31493505859375,0.864753
2,2,24.832135986328126,5.8596516
2,3,19.687620849609377,4.7508144
2,4,25.9949091796875,6.071146
2,7,19.984462646484374,4.4649534
2,9,21.926702636718748,8.698651
3,1,19.97199426269531,12.0927925
3,2,25.107211669921874,3.8368301
3,3,24.959819091796874,11.977878
3,5,28.1502685546875,8.264694
4,1,21.742119140624997,6.798639
4,2,26.4912451171875,4.518486
4,4,27.107294677734377,6.525804
5,1,24.71550732421875,10.120179
5,2,29.02177001953125,7.0131307
6,1,28.766232421874996,7.331214
6,14,27.0821865234375,3.0556436
6,14,23.817355224609376,8.38232
6,14,26.92605322265625,-2.42571
6,14,20.237086669921876,9.658213
6,14,28.36381640625,10.091905
6,2,26.64120849609375,6.45841
6,3,28.212996093749997,4.5053544
6,5,24.208973876953124,9.728593
6,7,30.46176123046875,7.0678396
7,1,25.725917724609374,7.007037
8,2,26.560142578125003,7.48756
9,1,23.999367919921873,5.625372
9,2,30.771885498046874,6.7225447
10,2,36.65644848632813,9.432612
10,3,104.03268090820312,7.9579015
10,7,27.981024169921877,9.221459
11,1,29.264710693359373,7.586768
11,3,27.390939697265622,4.965897
11,4,27.500627197265626,6.537798
12,1,27.791813232421877,4.91234
12,10,21.729350830078122,3.4256027
12,11,28.676682861328125,11.713409
12,4,60.98505029296875,18.77143
12,5,19.95781201171875,7.8275537
13,1,28.2270498046875,7.4318905
13,2,19.108248046874998,8.5648985
13,5,22.690487548828123,3.9696634
14,1,25.80244189453125,7.7175875
15,1,31.51536108398437,8.740564
15,2,22.13947924804687,4.002339
16,1,19.94821435546875,4.4247007
17,1,27.275939208984376,3.5687099
17,2,24.234681884765624,5.731368
17,3,24.29560986328125,5.3080115
17,7,23.807757568359374,5.4105864
18,1,21.512803710937497,6.979229
19,2,26.261843994140623,6.568187
20,1,29.45700659179688,6.8932977
20,10,27.77818798828125,4.0088487
20,12,30.303742675781248,8.131178
20,3,26.396725341796873,4.5575223
20,5,25.270543212890622,6.0479155
20,6,27.664901367187497,7.055536
20,7,21.822413818359376,5.9289427
20,8,30.164148193359374,4.213928
20,9,27.549986572265624,7.326011
