source_folder,recording,ball_speed,ball_location
1,1,19.91942138671875,7.687318
1,2,23.0573408203125,3.7402883
1,3,21.680334228515623,5.7091956
1,4,23.728833984375,115.73678
1,5,26.655519287109374,6.4744053
1,6,25.5081708984375,6.2630043
1,7,23.463784423828123,6.2946973
10,1,29.42769946289063,6.2255635
10,2,36.65644848632813,22.208431
10,3,104.03268090820312,41.081257
10,5,27.0739599609375,8.063488
10,7,27.981024169921877,46.582695
10,8,23.104472167968748,7.256758
11,1,29.264710693359373,7.978017
11,3,27.390939697265622,4.965897
11,4,27.500627197265626,6.537798
11,5,25.35169482421875,38.36406
11,6,76.97157495117187,8.057746
11,7,27.528563232421874,6.613024
12,1,27.791813232421877,4.91234
12,10,21.729350830078122,3.4256027
12,11,28.676682861328125,10.505462
12,12,68.04918237304688,10.144629
12,2,28.74823681640625,9.922125
12,4,60.98505029296875,18.77143
12,5,19.95781201171875,9.2119
12,6,30.380523925781247,45.095062
12,7,22.44737548828125,11.743606
12,8,27.733970214843747,10.940233
12,9,26.319429931640624,9.712826
13,1,28.2270498046875,7.4318905
13,2,19.108248046874998,14.407298
13,4,25.630626708984376,-4.4502077
13,5,22.690487548828123,3.9696634
13,6,22.169729003906248,3.6211684
13,7,25.348095703124997,5.795029
14,1,25.80244189453125,33.822647
15,1,31.51536108398437,22.183405
15,2,22.13947924804687,4.002339
16,1,19.94821435546875,4.4247007
17,1,27.275939208984376,3.5687099
17,2,24.234681884765624,5.731368
17,3,24.29560986328125,5.3080115
17,4,0.04953076171875,6.5356307
17,6,28.986978515624997,5.8849063
17,7,23.807757568359374,5.4105864
17,8,25.97657080078125,7.211892
18,1,21.512803710937497,6.915316
19,2,26.261843994140623,6.72526
19,3,25.53893481445312,6.91736
19,4,26.09876953125,4.418964
2,1,23.194021728515622,19.109764
2,10,20.91209326171875,4.028901
2,11,24.100314697265624,3.7898138
2,12,23.31493505859375,5.7574954
2,2,24.832135986328126,5.8596516
2,3,19.687620849609377,4.8543806
2,4,25.9949091796875,-18.439861
2,6,21.0706259765625,8.453834
2,7,19.984462646484374,17.709845
2,8,23.41673876953125,19.182962
2,9,21.926702636718748,15.132162
20,1,29.45700659179688,6.8932977
20,10,27.77818798828125,4.0088487
20,12,30.303742675781248,36.462074
20,13,91.79541210937501,5.6518445
20,14,29.83405737304687,5.392443
20,3,26.396725341796873,4.5575223
20,4,26.286609375,6.763482
20,5,25.270543212890622,6.0479155
20,6,27.664901367187497,7.055536
20,7,21.822413818359376,6.2483544
20,8,30.164148193359374,4.213928
20,9,27.549986572265624,7.326011
3,1,19.97199426269531,13.505517
3,2,25.107211669921874,5.64907
3,3,24.959819091796874,12.79016
3,4,22.94199755859375,11.313272
3,5,28.1502685546875,51.32559
4,1,21.742119140624997,6.798639
4,2,26.4912451171875,4.518486
4,3,27.417504638671872,3.4003332
4,4,27.107294677734377,6.525804
5,1,24.71550732421875,10.577375
5,2,29.02177001953125,6.998994
5,3,0.0017138671875000001,22.506853
5,5,24.891350097656247,13.8921175
5,6,24.50264501953125,4.490253
6,1,28.766232421874996,7.331214
6,11,28.094482177734374,18.45892
6,12,27.0821865234375,3.0556436
6,14,23.817355224609376,47.67685
6,15,26.92605322265625,5.858243
6,16,20.237086669921876,12.478264
6,17,28.36381640625,19.600607
6,18,26.057208251953124,11.603169
6,2,26.64120849609375,7.1120977
6,3,28.212996093749997,4.5053544
6,4,96.82895434570312,20.005583
6,5,24.208973876953124,9.728593
6,6,0.00017138671875,5.610889
6,7,30.46176123046875,-17.684103
6,8,28.638806396484373,6.914883
7,1,25.725917724609374,7.007037
8,1,35.138390625,80.84346
8,2,26.560142578125003,7.48756
9,1,23.999367919921873,6.116439
9,2,30.771885498046874,6.7225447
